,name,type,review,area
119,신세계 백화점 센텀시티,쇼핑몰/백화점,414.0,부산
120,안동하회마을,자연/공원,411.0,경상북도
121,잠실 야구 경기장,테마파크/게임,406.0,서울
122,제주 택시 투어 KJ,행사/투어,403.0,제주도
123,서대문 형무소 역사관,전시/극장/공연,384.0,서울
124,서울 시티 투어 버스,행사/투어,380.0,서울
125,서울 어린이 대공원,테마파크/게임,378.0,서울
126,서울숲,자연/공원,370.0,서울
127,페인터즈 히어로,전시/극장/공연,369.0,서울
128,남산 케이블카,전망대,364.0,서울
129,신세계 백화점 본점,쇼핑몰/백화점,364.0,서울
130,광복로 문화 패션 거리,즐길거리/랜드마크,363.0,부산
131,판문점,즐길거리/랜드마크,361.0,경기도
132,오륙도 스카이워크,전망대,361.0,부산
133,DMZ 스파이 투어 - 당일 투어,행사/투어,358.0,서울
134,실로암 불가마 사우나,즐길거리/랜드마크,357.0,서울
135,산굼부리 분화구,자연/공원,353.0,제주도
136,아임유어가이드,행사/투어,348.0,서울
137,인천 대교,즐길거리/랜드마크,347.0,인천
138,에코랜드 테마파크,테마파크/게임,344.0,제주도
139,제3 땅굴,즐길거리/랜드마크,341.0,경기도
140,그레뱅뮤지엄,전시/극장/공연,340.0,서울
141,동대문 밀리오레,쇼핑몰/백화점,338.0,서울
142,동대문 시장,쇼핑몰/백화점,335.0,서울
143,화성행궁,즐길거리/랜드마크,334.0,경기도
144,강남 지하상가,쇼핑몰/백화점,332.0,서울
145,숭례문,즐길거리/랜드마크,331.0,서울
146,서울앤투어 - 당일 투어,행사/투어,311.0,서울
147,쇠소깍,자연/공원,310.0,제주도
148,서울 역사 박물관,전시/극장/공연,310.0,서울
149,아쿠아 플라넷 제주,테마파크/게임,309.0,제주도
150,별마당 도서관,즐길거리/랜드마크,307.0,서울
151,외돌개,자연/공원,307.0,제주도
152,섭지코지,자연/공원,306.0,제주도
153,리얼 이스케이프 첼린지,테마파크/게임,303.0,서울
154,하늘공원,자연/공원,303.0,서울
155,익스클루시브 투어 코리아 - 프라이빗 당일 투어,행사/투어,300.0,서울
156,부산항,자연/공원,298.0,부산
157,비자림,자연/공원,291.0,제주도
158,강촌 레일 파크,테마파크/게임,291.0,강원도
159,부산역광장,즐길거리/랜드마크,288.0,부산
160,벡스코,즐길거리/랜드마크,286.0,부산
161,점프! 코믹 무술 퍼포먼스,전시/극장/공연,286.0,서울
162,VIP 트래블,행사/투어,285.0,서울
163,송도 해수욕장,자연/공원,283.0,부산
164,박물관은 살아있다,전시/극장/공연,281.0,제주도
165,이화 벽화마을,즐길거리/랜드마크,281.0,서울
166,63시티,즐길거리/랜드마크,280.0,서울
167,APEC나루공원,자연/공원,280.0,부산
168,해운대 달맞이길,즐길거리/랜드마크,279.0,부산
169,제주김녕미로공원,자연/공원,275.0,제주도
170,충무공 이순신 동상,즐길거리/랜드마크,275.0,서울
171,이대 패션거리,즐길거리/랜드마크,274.0,서울
172,HaB 코리아,행사/투어,272.0,서울
173,서울대공원,테마파크/게임,271.0,경기도
174,낙산공원,자연/공원,266.0,서울
175,반포대교,즐길거리/랜드마크,265.0,서울
176,도라산역,즐길거리/랜드마크,258.0,경기도
177,롯데아울렛 서울역점,쇼핑몰/백화점,258.0,서울
178,일산 호수 공원,자연/공원,257.0,경기도
