랭킹	지역	상호명	업종	주소	경도	위도
6890	서울	하노이별 신촌점	기타/세계	서대문구 창천동	126.9342153	37.5586991
6891	강원	횡성한우촌	한식	강원 강릉시 포남동	128.9079682	37.7741028
6892	서울	담담(?潭)	카페/주점	강남구 논현동	127.0317166	37.5136758
6893	서울	오쉐이크(O'SHAKE) 이태원점	카페/주점	용산구 이태원동	126.9925274	37.5385142
6894	서울	펍프라하(PUB PRAHA) 이태원점	카페/주점	용산구 이태원동	126.9925274	37.5385142
6895	경기	일미통닭	기타/세계	수원시 팔달구 팔달로2가	126.9991023	37.2701347
6896	서울	저스트디저트(JUST DESSERT)	카페/주점	서대문구 대현동	126.946336	37.5603937
6897	서울	회뜨는사나이	카페/주점	강남구 역삼동	127.0385535	37.5000807
6898	경기	갠지스보정점	기타/세계	용인시 기흥구 보정동	127.1071275	37.309358
6899	서울	산토리니(SANTORINI) 2호점	양식	용산구 이태원동	126.9925274	37.5385142
6900	서울	옹기집	한식	강남구 역삼동	127.0385535	37.5000807
6901	제주	시와나그네	카페/주점	제주 서귀포시 성산읍	126.8647385	33.4180242
6902	서울	걸구네	한식	용산구 이태원1동	126.9950755	37.5324538
6903	서울	볼리포인트	중식	용산구 한남동	127.0051795	37.5375402
6904	서울	옥상키친	양식	용산구 이태원동	126.9925274	37.5385142
6905	제주	촵촵	일식	제주 제주시 이도이동	126.539439	33.4953117
6906	서울	포폴라리타(popolarita)	양식	서초구 반포동	127.0007619	37.503966
6907	전북	키친후가(Kitchen Hygge)	패스트푸드	전북 군산시 조촌동	126.7410781	35.9727753
6908	서울	뽕신(BBONG SIN) 강남점	기타/세계	강남구 역삼동	127.0385535	37.5000807
6909	서울	스파소(SPASSO)	양식	강남구 청담동	127.0504711	37.5243974
6910	제주	챠우	카페/주점	제주 제주시 구좌읍	126.7954453	33.4980741
6911	제주	매기의추억	카페/주점	제주 제주시 한림읍	126.2847479	33.3763445
6912	전북	맘은콩밭에	한식	전주시 완산구 고사동	127.1430269	35.8202418
6913	전북	엄마손순대국	한식	전주시 완산구 전동3가	127.1449066	35.8131619
6914	강원	한승준커피창고	카페/주점	강원 양양군 양양읍	128.600678	38.0916017
6915	제주	테온(제주디아일랜드마리나)	뷔페	제주 서귀포시 서귀동	126.563701	33.2451152
6916	서울	프로스트(PROST)	카페/주점	용산구 이태원동	126.9925274	37.5385142
6917	서울	티22233(TEA22233)	카페/주점	용산구 이태원동	126.9925274	37.5385142
6918	서울	더스트릿(THE STREET)	카페/주점	용산구 이태원동	126.9925274	37.5385142
6919	강원	해피홀리	카페/주점	강원 고성군 죽왕면	128.4889753	38.3234518
6920	전북	천년누리봄	한식	전주시 완산구 경원동2가	127.1494576	35.8180613
6921	서울	써스티몽크 이태원점	카페/주점	용산구 이태원동	126.9925274	37.5385142
6922	전북	빈스인가배몽	카페/주점	전주시 완산구 교동	127.1618395	35.8129116
6923	서울	작업반장 이태원점	카페/주점	용산구 이태원동	126.9925274	37.5385142
6924	제주	복도새기	한식	제주 제주시 애월읍	126.3939726	33.4110375
6925	강원	동명활어센타66호(동명활어센타)	한식	강원 속초시 동명동	128.5916464	38.2113416
6926	서울	올리아키친앤그로서리(Olea Kitchen)	양식	용산구 이태원동	126.9925274	37.5385142
6927	제주	산호반점	중식	제주 제주시 우도면	126.9554783	33.5054232
6928	서울	만두집	분식	강남구 신사동	127.0265061	37.5238058
6929	서울	맛있는교토 강남점	카페/주점	서초구 서초동	127.0168004	37.4883773
6930	서울	난장캠프	한식	강남구 삼성동	127.0561233	37.5139725
6931	서울	부산갈비	한식	용산구 이태원동	126.9925274	37.5385142
6932	서울	일렌토(il Lento)	양식	마포구 합정동	126.9090439	37.547026
