,name,type,review,area
118,코엑스,즐길거리 & 랜드마크 • 도심,47,서울
119,뮤지엄김치간,전문 박물관,75,서울
120,두타,백화점,204,서울
121,에이피엠 플레이스,쇼핑몰,19,서울
122,고려대학교,즐길거리 & 랜드마크,55,서울
123,북악산 서울 성곽,즐길거리 & 랜드마크,79,서울
124,우표박물관,전문 박물관,29,서울
125,롯데월드 스타 애비뉴,놀이공원 & 테마파크,62,서울
126,동대문 밀리오레,백화점,338,서울
127,롯데 영플라자 명동점,백화점,115,서울
128,디뮤지엄,아트뮤지엄,34,서울
129,용산 가족 공원,공원,44,서울
130,길상사,종교적인 장소,38,서울
131,Statue of Gangnam Style,기념비 및 동상,49,서울
132,신세계 강남점,백화점,50,서울
133,동대문 (흥인지문),역사적인 장소 • 즐길거리 & 랜드마크,458,서울
134,아이파크몰,쇼핑몰,103,서울
135,국립 한글 박물관,전문 박물관 • 역사박물관,57,서울
136,광희 패션몰,쇼핑몰,48,서울
137,한국관광공사 관광안내전시관,관광센터,65,서울
138,홍익대학교,교육적인 장소,80,서울
139,서울 시립 미술관,아트뮤지엄,145,서울
140,꿈의 숲,산림,32,서울
141,정동전망대,전망대 & 타워,34,서울
142,세종이야기 • 충무공이야기,즐길거리 & 랜드마크 • 역사박물관,58,서울
143,국립 서울 현충원,묘지,48,서울
144,서울 광장,즐길거리 & 랜드마크,132,서울
145,뚝섬 한강공원 수영장,공원,25,서울
146,세븐럭카지노 강북힐튼점,카지노,204,서울
147,운현궁,역사적인 장소 • 즐길거리 & 랜드마크,148,서울
148,응봉산,산,21,서울
149,메세나폴리스몰,쇼핑몰,78,서울
150,안산자락길,조깅로 & 트랙,10,서울
151,한양도성박물관,역사박물관,31,서울
152,명동지하상가,쇼핑몰,51,서울
153,국기원,전문 박물관 • 스포츠 컴플렉스,14,서울
154,문화역서울 284,전문 박물관 • 역사적인 장소,240,서울
155,KBS 온,즐길거리 & 랜드마크,30,서울
156,안중근의사 기념관,역사박물관,25,서울
157,세빛섬,즐길거리 & 랜드마크 • 섬,81,서울
158,경의선숲길,공원,25,서울
159,아모레퍼시픽미술관,전문 박물관 • 아트뮤지엄,9,서울
160,백인제가옥,역사적인 장소 • 즐길거리 & 랜드마크,19,서울
161,절두산 순교 성지,역사적인 장소 • 역사박물관,29,서울
162,양재 시민 공원,공원,28,서울
163,라뜰리에,아트뮤지엄,11,서울
164,동대문성곽공원,즐길거리 & 랜드마크 • 유서 깊은 산책로,14,서울
165,서초관광정보센터,관광센터,40,서울
166,파라다이스 카지노 워커힐,카지노,94,서울
167,마리오 아울렛,팩토리 아울렛,51,서울
168,대림 미술관,아트뮤지엄,59,서울
169,낙산 공공 미술,즐길거리 & 랜드마크,104,서울
170,서울풍물시장,벼룩시장 & 재래시장,57,서울
171,서대문 자연사 박물관,자연사 박물관,38,서울
172,도산 공원,공원,34,서울
173,탑골 공원,공원,118,서울
174,롯데 피트인,백화점,52,서울
175,세븐럭카지노 강남코엑스점,카지노,114,서울
176,경희궁,역사적인 장소,117,서울
177,피규어뮤지엄,전문 박물관,6,서울
178,국립중앙박물관 어린이박물관,어린이 박물관,23,서울
179,테지움 서울,전문 박물관,26,서울
180,아차산,산,37,서울
181,몽마르뜨 공원,공원,21,서울
182,K-Style Hub,관광센터,7,서울
183,스카이 아트,전문 박물관,48,서울
184,서울글로벌문화체험센터,관광센터,52,서울
185,한류스타거리,즐길거리 & 랜드마크,8,서울
186,서울 정릉,역사적인 장소,32,서울
187,갤러리아 백화점 본점,백화점,33,서울
188,세종대왕 기념관,역사박물관,49,서울
189,보라매 공원,공원,29,서울
190,경의선책거리,즐길거리 & 랜드마크,6,서울
191,연세대학교 신촌캠퍼스,대학 & 학교,17,서울
192,공항철도 트래블 센터,관광센터,27,서울
193,시월드,수족관,78,서울
194,헬로에이피엠,쇼핑몰,31,서울
195,하이서울페스티벌,문화 행사,25,서울
196,서울도서관,도서관,19,서울
197,남평화 상가,쇼핑몰,36,서울
198,아름다운 차박물관,전문 박물관,20,서울
199,덕수궁 미술관,아트뮤지엄,45,서울
200,화폐 금융 박물관,전문 박물관,83,서울
201,퀸마마마켓,쇼핑몰,4,서울
202,부엉이 박물관,전문 박물관,18,서울
203,동묘벼룩시장,벼룩시장 & 재래시장,21,서울
204,보신각,역사적인 장소 • 즐길거리 & 랜드마크,60,서울
205,현대카드 뮤직 라이브러리,도서관,7,서울
206,명동관광정보센터,관광센터,23,서울
207,해방촌,인근 지역 • 즐길거리 & 랜드마크,6,서울
208,영등포중앙시장,벼룩시장 & 재래시장,19,서울
