,name,score,loc,lowest_price,category,loc2,SIG_CD
75,제주 로얄호텔,2.9,제주공항 5분거리-455.6km,39000.0,m,제주시,50110
76,제주 올레호텔,5.0,GS25 편의점 인근-455.4km,43000.0,m,제주시,50110
77,제주 올레관광호텔,4.4,제주시외버스터미널 인근-454.1km,35000.0,m,제주시,50110
78,제주 펄리플러스,4.0,453.9km,66000.0,m,제주시,50110
79,제주 심스호텔,4.4,452km,42000.0,m,제주시,50110
80,제주 산지물호텔,3.2,455.8km,30000.0,m,제주시,50110
81,제주 CJ호텔,3.5,제주시청 인근-454km,85197.0,m,제주시,50110
82,제주 씨앤호텔,4.2,455.4km,49900.0,m,제주시,50110
83,제주 골든파크 호텔,4.0,454.2km,33000.0,m,제주시,50110
84,제주 해피호텔,4.0,제주공항에서 10분이내-455.8km,35000.0,m,제주시,50110
85,제주 모나코호텔,3.3,455.5km,30000.0,m,제주시,50110
86,제주 오렌지호텔,3.5,453.9km,45000.0,m,제주시,50110
87,제주 해호텔,2.6,452.1km,45000.0,m,제주시,50110
88,제주 CnJ 관광호텔,3.5,454km,85197.0,m,제주시,50110
89,제주 스위트 호텔,3.5,제주국제공항 차량으로 5분 거리-455.3km,36000.0,m,제주시,50110
90,제주 CAPITAL,5.0,454.2km,40000.0,m,제주시,50110
91,제주(김녕) 빌라드 알리앙스 호텔,3.0,448.6km,240000.0,m,제주시,50110
92,제주 크리스마스 풀빌라,3.5,451.5km,85197.0,m,제주시,50110
93,제주 금정,3.5,454km,35000.0,m,제주시,50110
94,제주 안남,5.0,453.5km,35000.0,m,제주시,50110
95,제주 스카이,3.3,신라스테이 제주 옆-455.9km,28000.0,m,제주시,50110
96,제주 1mm Hotel,3.5,454.2km,85197.0,m,제주시,50110
97,제주 백록담,3.5,454.1km,40000.0,m,제주시,50110
98,제주 영풍,3.5,455.4km,30000.0,m,제주시,50110
99,제주 탑동호텔,3.5,452.3km,40000.0,m,제주시,50110
100,오드리 인 제주,4.5,제주국제공항 4.88km-454.2km,52000.0,h,제주시,50110
101,라마다 제주시티 호텔,4.6,제주국제공항 4.86km-454.7km,71500.0,h,제주시,50110
102,신라스테이 제주,4.6,제주국제공항 차량 15분-455.9km,121960.0,h,제주시,50110
103,제주 센트럴 시티 호텔,4.4,제주국제공항 2.92km-455.9km,55000.0,h,제주시,50110
104,호텔 컬리넌 제주,4.2,제주국제공항 자동차 5분-455.9km,54000.0,h,제주시,50110
105,호텔위드 제주,4.6,제주국제공항 차량 10분-455.9km,60000.0,h,제주시,50110
106,제주 서우봉 비치 호텔,4.3,함덕서우봉해변 차량 3분 거리-448.4km,50000.0,h,제주시,50110
107,유탑유블레스호텔 제주함덕,4.5,함덕해수욕장 바로 앞-448.5km,85800.0,h,제주시,50110
108,제주 오리엔탈호텔,4.2,제주국제공항 차량 10분-452.2km,98000.0,h,제주시,50110
109,화이트하우스 제주,4.4,제주시 제주공항에서 약 5km-453km,50000.0,h,제주시,50110
110,호텔 메르블루 제주,4.7,제주국제공항 차량 약 13분-453.1km,125000.0,h,제주시,50110
111,제주 아모렉스 리조트,4.3,제주국제공항 10분-453.6km,40000.0,h,제주시,50110
112,제주 노블레스 관광호텔,4.4,제주국제공항 자동차 5분-454km,53000.0,h,제주시,50110
113,제주 에스호텔,4.1,제주국제공항 3.58km-455km,45000.0,h,제주시,50110
114,벤티모 호텔 앤 레지던스 제주,4.9,제주국제공항 차량 약 6분-455km,85197.0,h,제주시,50110
115,호텔 시리우스 제주,4.6,제주국제공항 차량 5분-455km,93000.0,h,제주시,50110
116,롯데 시티호텔 제주,4.8,제주국제공항 자동차 5분-455.4km,116000.0,h,제주시,50110
117,호텔 에어시티 제주,4.6,제주국제공항 차량 7분-455.4km,65000.0,h,제주시,50110
118,베스트웨스턴 제주,4.5,제주국제공항 차량 7분 거리-455.7km,65000.0,h,제주시,50110
119,라마다 프라자 제주,4.7,제주국제공항 약 3km-452km,140000.0,h,제주시,50110
120,아시아호텔 제주(구.아비아호텔),4.6,제주국제공항 차량 15분-455.9km,55000.0,h,제주시,50110
121,캠퍼트리 호텔&리조트 제주,4.6,제주국제공항 8.94km-460km,450000.0,h,제주시,50110
122,그라벨 호텔,4.4,제주시 역빈해안-455.7km,95000.0,h,제주시,50110
123,제주 펄리 호텔,4.6,제주 아트리움 도보 2분-458.5km,40000.0,h,제주시,50110
124,제주 에메랄드호텔 에이스,3.3,제주국제공항 차량 10분-454.2km,35000.0,h,제주시,50110
125,제주 선샤인호텔,4.5,함덕해수욕장 도보 10분-448.3km,85197.0,h,제주시,50110
126,호텔 스카이파크 제주 1호점,4.4,제주국제공항 차량 5분-455.5km,57500.0,h,제주시,50110
127,아스타 호텔,4.7,제주시 제주국제공항-454km,71000.0,h,제주시,50110
128,꼬뜨도르 호텔 제주,2.9,제주국제공항 23.7km-447.1km,39000.0,h,제주시,50110
129,제주 오션그랜드 호텔,4.2,함덕서우봉해변 339m-448.4km,68000.0,h,제주시,50110
130,뉴 아일랜드 제주,3.2,제주국제공항 차량 약 10분-456km,25000.0,h,제주시,50110
131,제주 썬랜드호텔,4.6,제주국제공항 차량 약 10분-456.1km,50000.0,h,제주시,50110
132,제주 아라팰리스 호텔,4.3,제주국제공항 차량 약 15분-453.2km,66000.0,h,제주시,50110
133,제주 골든파크호텔,4.5,제주 시외버스터미널 도보 3분-454.2km,35900.0,h,제주시,50110
134,제주 미주호텔,2.9,제주국제공항 2km-455.1km,37000.0,h,제주시,50110
135,호텔 비,4.4,삼다공원 100M인근-455.5km,35000.0,h,제주시,50110
136,스카이리더스호텔,3.9,제주시 연동-456.2km,40000.0,h,제주시,50110
137,제주 스테이,4.2,제주국제공항 3.18km-452.5km,37000.0,h,제주시,50110
138,아이진 호텔,4.5,제주시 연동-456.2km,58000.0,h,제주시,50110
139,엠제이 호텔,4.6,제주국제공항 차로 5분거리-455.5km,33000.0,h,제주시,50110
140,도두봉 호텔,2.8,제주국제공항 차량 약 15분-453.8km,60000.0,h,제주시,50110
141,제주 보롬코지펜션,4.7,446.1km,129000.0,p,제주시,50110
142,제주 트레비앙펜션,4.5,452.4km,57000.0,p,제주시,50110
143,제주 그림리조트,4.3,452.4km,60000.0,p,제주시,50110
144,"제주 마실펜션(성산일출봉,종달)",4.9,자체픽업 가능-453.4km,74000.0,p,제주시,50110
145,"제주 W699펜션(신축,오션뷰,조식제공)",4.9,446.2km,165000.0,p,제주시,50110
146,제주 월정힐펜션(신축.휴게실.풀장),4.9,446.2km,172500.0,p,제주시,50110
147,"제주 월정씨하루(신축,오션뷰,히노끼탕)",4.9,446.2km,109000.0,p,제주시,50110
148,제주 단겸펜션 (월정리해수욕장),4.5,446.8km,109000.0,p,제주시,50110
149,제주 르마빈펜션,4.6,447.6km,45000.0,p,제주시,50110
150,제주 미스미스터펜션(독채펜션),5.0,449.1km,85197.0,p,제주시,50110
151,제주 제주에서돌고래를만난다면펜션,4.9,449.3km,79000.0,p,제주시,50110
152,제주 우도달그리안펜션(전기자동차 대여),4.3,자체픽업 가능-450.8km,85197.0,p,제주시,50110
153,제주 파도소리펜션,4.5,450.8km,64000.0,p,제주시,50110
154,제주 써니펜션,4.8,452.4km,79000.0,p,제주시,50110
155,"제주 낭만제주펜션(종달리,MD추천)",4.7,자체픽업 가능-453.4km,50000.0,p,제주시,50110
156,"제주 해피니스펜션 (오션뷰,18.3월신축)",4.4,453.6km,43000.0,p,제주시,50110
157,"제주 루마인펜션(오션뷰,단체객실)",4.0,454.2km,119000.0,p,제주시,50110
158,"제주 쥬디스펜션(이호테우해변,오션뷰)",4.8,455km,85197.0,p,제주시,50110
159,제주 삼다숲펜션,5.0,461km,85197.0,p,제주시,50110
160,제주 하얀고래별장펜션,4.8,450.5km,230000.0,p,제주시,50110
161,제주 비긴어게인펜션,4.9,446.8km,153450.0,p,제주시,50110
162,제주 우도아라펜션,4.7,자체픽업 가능-450.9km,70000.0,p,제주시,50110
163,제주 하도내음펜션,3.5,449.7km,297000.0,p,제주시,50110
164,제주 함덕선흘풍경펜션,5.0,451.4km,220000.0,p,제주시,50110
165,"제주 낭만제주펜션(공항근처,MD추천)",4.6,453.9km,49000.0,p,제주시,50110
166,제주 스테이산타루치아펜션(신축펜션),4.9,446.4km,89000.0,p,제주시,50110
167,제주 물고기펜션,4.6,448.7km,65000.0,p,제주시,50110
168,제주 해품달독채펜션,3.5,452.8km,225000.0,p,제주시,50110
