,name,score,loc,lowest_price,category,loc2,SIG_CD
62,천안 nine9-나인,4.4,천안시청 인근-86.3km,40000.0,m,천안 서북구,44133
63,천안 텐호텔,4.5,77.3km,40000.0,m,천안 서북구,44133
64,천안 타임 호텔,4.4,두정동 롯데마트 인근-85km,50000.0,m,천안 서북구,44133
65,천안 티롤리아,4.8,85.2km,40000.0,m,천안 서북구,44133
66,천안 CF,5.0,86.8km,25000.0,m,천안 서북구,44133
67,천안 굿모닝호텔,3.5,일봉산 사거리 인근-88.2km,40000.0,m,천안 서북구,44133
68,천안 이화,3.7,88km,23000.0,m,천안 서북구,44133
69,천안 칼튼,4.2,87km,25000.0,m,천안 서북구,44133
70,천안 우진모텔,4.3,서부역3분-86.7km,60486.0,m,천안 서북구,44133
71,천안 오엔시티 호텔,4.5,천안시 천안시청 1.14km-86.4km,66000.0,h,천안 서북구,44133
72,신라스테이 천안,4.6,두정역 1번출구 1.28km-85.3km,49720.0,h,천안 서북구,44133
73,천안 뷰 호텔,4.7,두정역 300M이내-83.9km,40000.0,h,천안 서북구,44133
74,천안 티포인트 호텔,4.5,두정역 차량 2분 거리-85.1km,62000.0,h,천안 서북구,44133
75,천안 호텔 녹스,4.7,성정동 두정역 1번출구 1Km-85.1km,32000.0,h,천안 서북구,44133
76,천안 어반스테이,4.5,두정역 1번출구 도보 15분-85.2km,45000.0,h,천안 서북구,44133
77,천안 렉스호텔,4.8,천안역 640m-86.9km,45000.0,h,천안 서북구,44133
78,천안 CT 관광 호텔,4.7,천안역 2번출구 815m-86.7km,62000.0,h,천안 서북구,44133
79,천안 오엔스마트 호텔,4.4,천안시청 1.37km 자동차로 3분-86.5km,49000.0,h,천안 서북구,44133
80,천안(신부동) 숲 호텔,4.8,신세계백화점 3분 / 천안 IC 1분-86km,30000.0,m,천안 동남구,44131
81,천안 E,4.8,"신세계백화점 3분,천안IC 1분거리-86.3km",35000.0,m,천안 동남구,44131
82,천안 잠,4.8,86.4km,40000.0,m,천안 동남구,44131
83,천안 힐튼,4.5,천안 종합터미널 도보5분거리-86.4km,30000.0,m,천안 동남구,44131
84,천안 에이원,4.9,신세계백화점 도보2분-86.4km,40000.0,m,천안 동남구,44131
85,천안 탑클라우드호텔,4.7,간편조식제공 및 전객실 넷플릭스-87.2km,40000.0,m,천안 동남구,44131
86,천안 와,4.3,천안역 2번출구 5분 거리-87.3km,30000.0,m,천안 동남구,44131
87,천안 브라운도트 천안사직점,4.9,천안 (구)국빈관 나이트 앞-88km,35000.0,m,천안 동남구,44131
88,천안 캘리포니아,4.5,종합터미널 3분거리-86.4km,30000.0,m,천안 동남구,44131
89,천안 그린힐,4.9,92.2km,60486.0,m,천안 동남구,44131
90,천안 CN 무인텔,4.4,86.1km,60486.0,m,천안 동남구,44131
91,천안 피아노,5.0,천안역 인근-88km,28000.0,m,천안 동남구,44131
92,천안 원플러스,4.3,92.4km,45000.0,m,천안 동남구,44131
93,천안 스타 무인텔,3.9,94.9km,40000.0,m,천안 동남구,44131
94,천안 호텔박스 터미널점,4.7,86.4km,35000.0,m,천안 동남구,44131
95,천안 호텔체크인,4.5,"천안역 도보1분, 천안CGV 도보30초-87.4km",35000.0,m,천안 동남구,44131
96,천안 프라임,4.3,86.4km,30000.0,m,천안 동남구,44131
97,천안 호텔캄캄,4.8,신세계백화점 3분거리-86.4km,45000.0,m,천안 동남구,44131
98,천안 KS HOTEL 천안역점,4.1,천안역 1번출구 도보5분-87.5km,35000.0,m,천안 동남구,44131
99,천안 파르페,4.6,"신세계백화점, 터미널 도보 3분-86.4km",35000.0,m,천안 동남구,44131
100,천안 터미널 G7,4.7,천안터미널 도보 5분-86.5km,30000.0,m,천안 동남구,44131
101,천안 소륜 무인호텔,4.5,"천안역IC 1분, 신세계백화점 3분-86km",30000.0,m,천안 동남구,44131
102,천안 썬(SUN),4.4,상명대학교 천안캠퍼스 인근-85.4km,25000.0,m,천안 동남구,44131
