업종,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
호텔,7.5,8.4,5.8,5.6,5.9,5.9,6.3,7.5,6.5,8,10.1
콘도미니엄,21.4,19.8,11.5,10.4,10.2,9.4,8.4,8.1,8.4,15.5,14.1
유스호스텔,1.2,2.7,1.4,0.9,0.7,1.2,1.1,0.9,0.9,1.4,2.2
모텔/여관,14.4,14.2,6.4,7.3,5.9,5.8,5.4,5.7,7.8,11.7,11.2
펜션/민박,27.4,27.9,16.8,15.2,17.7,18.8,19.7,20.4,19.3,40.1,35.5
야영,5.4,4.3,2.1,3.4,3.6,3.9,4.8,4.6,2.9,3.2,3.6
자연휴양림내 숙박시설,2.3,1.9,1.3,0.6,0.9,0.8,0.7,0.9,0.8,2.6,2.2
가족/친지집,14.8,16.9,48.4,50.4,52,49.4,47.5,47.5,47.4,11.2,17.1
기타,5.6,3.9,6.3,6.2,3.1,4.8,6.1,4.4,6,6.3,4
